,ticker,date_com,value,type,vol_liq,total
23,ABEV3,2018-12-18,0.32,JRS CAP PROPRIO,123,39.36
24,ABEV3,2019-12-19,0.4906,JRS CAP PROPRIO,143,70.1558
25,ABEV3,2020-12-17,0.4137,JRS CAP PROPRIO,270,111.699
57,B3SA3,2019-09-24,0.12942021,DIVIDENDO,36,4.65912756
58,B3SA3,2019-09-24,0.18818893,JRS CAP PROPRIO,36,6.77480148
59,B3SA3,2019-12-30,0.16372622,DIVIDENDO,36,5.89414392
60,B3SA3,2019-12-30,0.19011791,JRS CAP PROPRIO,36,6.8442447600000005
61,B3SA3,2020-03-25,0.16845165,DIVIDENDO,36,6.0642594
62,B3SA3,2020-03-25,0.31806758,DIVIDENDO,36,11.45043288
63,B3SA3,2020-03-25,0.14337507,JRS CAP PROPRIO,36,5.16150252
64,B3SA3,2020-06-30,0.14679782,JRS CAP PROPRIO,36,5.28472152
65,B3SA3,2020-09-24,0.6487425,DIVIDENDO,36,23.35473
66,B3SA3,2020-09-24,0.14787107,JRS CAP PROPRIO,36,5.323358519999998
67,B3SA3,2020-12-30,0.41047812,DIVIDENDO,36,14.77721232
68,B3SA3,2020-12-30,0.14692192,JRS CAP PROPRIO,36,5.2891891200000005
54,EGIE3,2018-12-11,1.0,DIVIDENDO,40,40.0
55,EGIE3,2018-12-26,0.48656269490000004,JRS CAP PROPRIO,50,24.328134745000003
56,EGIE3,2019-06-05,0.09400692,DIVIDENDO,50,4.700346
57,EGIE3,2019-02-12,1.0949497919,DIVIDENDO,50,54.747489595
58,EGIE3,2019-02-12,0.4338619496,JRS CAP PROPRIO,50,21.69309748
59,EGIE3,2020-07-08,0.8305737384999999,DIVIDENDO,75,62.2930303875
60,EGIE3,2020-12-18,0.6795603315000001,DIVIDENDO,107,72.7129554705
61,EGIE3,2020-12-18,0.2144797773,JRS CAP PROPRIO,107,22.9493361711
25,ENBR3,2019-04-16,0.06133899900000001,DIVIDENDO,60,3.680339940000001
26,ENBR3,2019-12-30,0.3902077370000001,JRS CAP PROPRIO,80,31.216618960000005
27,ENBR3,2020-03-31,0.194262378,DIVIDENDO,175,33.99591615
23,FLRY3,2019-02-01,0.12696021785,JRS CAP PROPRIO,88,11.1724991708
24,FLRY3,2019-06-03,0.68743136913,DIVIDENDO,138,94.86552893993999
25,FLRY3,2019-07-30,0.20027041425,JRS CAP PROPRIO,138,27.6373171665
26,FLRY3,2020-02-01,0.11247959562000001,JRS CAP PROPRIO,138,15.52218419556
27,FLRY3,2020-02-26,0.62428363855,DIVIDENDO,138,86.1511421199
56,GRND3,2019-04-23,0.014891133,DIVIDENDO,70,1.04237931
57,GRND3,2019-04-23,0.14409860800000002,JRS CAP PROPRIO,70,10.08690256
58,GRND3,2019-09-05,0.040753032,DIVIDENDO,70,2.85271224
59,GRND3,2019-08-08,0.017048561,DIVIDENDO,70,1.19339927
60,GRND3,2019-04-11,0.10400070800000001,DIVIDENDO,70,7.280049560000001
61,GRND3,2020-05-05,0.021885547999999998,DIVIDENDO,110,2.40741028
62,GRND3,2020-05-05,0.121949868,JRS CAP PROPRIO,110,13.41448548
63,GRND3,2020-05-11,0.023872975,DIVIDENDO,110,2.62602725
14,HYPE3,2019-11-04,0.22835,JRS CAP PROPRIO,31,7.07885
15,HYPE3,2019-11-04,0.026369999999999998,JRS CAP PROPRIO,31,0.8174699999999999
18,HYPE3,2019-12-23,0.30424,JRS CAP PROPRIO,31,9.43144
19,HYPE3,2020-03-27,0.29394000000000003,JRS CAP PROPRIO,31,9.112140000000002
20,HYPE3,2020-06-26,0.29349000000000003,JRS CAP PROPRIO,81,23.77269
21,HYPE3,2020-10-23,0.2929,JRS CAP PROPRIO,81,23.7249
22,HYPE3,2020-12-28,0.29285,JRS CAP PROPRIO,81,23.72085
8,IRBR3,2019-03-21,1.8650110632299999,DIVIDENDO,12,22.38013275876
9,IRBR3,2019-03-21,0.22077286139000002,DIVIDENDO,12,2.6492743366800005
10,IRBR3,2019-03-21,0.21090344100000002,JRS CAP PROPRIO,12,2.5308412920000003
11,IRBR3,2019-03-21,0.03802951289,RENDIMENTO,12,0.45635415468
12,IRBR3,2019-03-21,0.00450178798,RENDIMENTO,12,0.05402145576
13,IRBR3,2019-03-21,0.00430054024,RENDIMENTO,12,0.05160648288
14,IRBR3,2019-11-18,0.21307633814,JRS CAP PROPRIO,36,7.670748173039999
15,IRBR3,2020-08-14,0.09889837927000003,DIVIDENDO,325,32.141973262750014
16,IRBR3,2020-08-14,0.02953635375,JRS CAP PROPRIO,325,9.59931496875
17,IRBR3,2020-08-14,0.0008129440299999999,RENDIMENTO,325,0.26420680975
18,IRBR3,2020-08-14,0.0027220302000000004,RENDIMENTO,325,0.8846598150000001
368,ITSA4,2018-08-31,0.015,DIVIDENDO,500,7.5
369,ITSA4,2018-11-30,0.02,DIVIDENDO,500,10.0
371,ITSA4,2019-02-28,0.02,DIVIDENDO,500,10.0
374,ITSA4,2018-12-17,0.0081,JRS CAP PROPRIO,500,4.05
375,ITSA4,2019-02-21,0.4532,DIVIDENDO,500,226.6
376,ITSA4,2019-02-21,0.3111,JRS CAP PROPRIO,500,155.54999999999995
377,ITSA4,2019-08-30,0.02,DIVIDENDO,500,10.0
378,ITSA4,2019-05-31,0.02,DIVIDENDO,500,10.0
379,ITSA4,2019-11-29,0.02,DIVIDENDO,500,10.0
380,ITSA4,2020-02-28,0.02,DIVIDENDO,500,10.0
381,ITSA4,2019-08-15,0.3405,DIVIDENDO,500,170.25
382,ITSA4,2019-12-12,0.00595,JRS CAP PROPRIO,500,2.975
383,ITSA4,2020-02-20,0.226,DIVIDENDO,500,113.0
384,ITSA4,2020-02-20,0.2174,JRS CAP PROPRIO,500,108.7
385,ITSA4,2020-08-31,0.02,DIVIDENDO,600,12.0
386,ITSA4,2020-05-29,0.02,DIVIDENDO,500,10.0
387,ITSA4,2020-11-30,0.02,DIVIDENDO,712,14.24
388,ITSA4,2020-08-17,0.02,DIVIDENDO,500,10.0
389,ITSA4,2020-10-12,0.10165,JRS CAP PROPRIO,712,72.37480000000002
295,ITUB3,2018-11-30,0.015,DIVIDENDO,21,0.315
298,ITUB3,2018-10-31,0.015,DIVIDENDO,14,0.21
303,ITUB3,2018-12-17,0.0106,JRS CAP PROPRIO,21,0.2226
304,ITUB3,2019-04-30,0.015,DIVIDENDO,38,0.57
305,ITUB3,2019-10-31,0.015,DIVIDENDO,38,0.57
306,ITUB3,2019-01-31,0.015,DIVIDENDO,21,0.315
307,ITUB3,2019-03-29,0.015,DIVIDENDO,21,0.315
308,ITUB3,2019-07-31,0.015,DIVIDENDO,38,0.57
309,ITUB3,2019-09-30,0.015,DIVIDENDO,38,0.57
310,ITUB3,2019-02-28,0.015,DIVIDENDO,21,0.315
311,ITUB3,2019-05-31,0.015,DIVIDENDO,38,0.57
312,ITUB3,2018-12-28,0.015,DIVIDENDO,21,0.315
313,ITUB3,2019-06-28,0.015,DIVIDENDO,38,0.57
314,ITUB3,2019-08-30,0.015,DIVIDENDO,38,0.57
315,ITUB3,2019-11-29,0.015,DIVIDENDO,38,0.57
316,ITUB3,2019-02-21,1.0507,DIVIDENDO,21,22.0647
317,ITUB3,2019-02-21,0.7494,JRS CAP PROPRIO,21,15.7374
318,ITUB3,2019-08-15,0.7869,DIVIDENDO,38,29.9022
319,ITUB3,2019-12-12,0.03756,JRS CAP PROPRIO,38,1.42728
320,ITUB3,2020-10-30,0.015,DIVIDENDO,193,2.895
321,ITUB3,2020-04-30,0.015,DIVIDENDO,88,1.3199999999999998
322,ITUB3,2020-07-31,0.015,DIVIDENDO,113,1.6949999999999998
323,ITUB3,2020-09-30,0.015,DIVIDENDO,193,2.895
324,ITUB3,2020-01-31,0.015,DIVIDENDO,38,0.57
