ticker,Vol. liq.,Avg. price (R$),Quote (R$),P/L (%),Current value (R$),Sector
ABEV3,270,15.263925925925927,15.44,1.1535307163343174,4168.8,Consumer Defensive
B3SA3,36,43.315000000000005,60.77,40.29781830774557,2187.7200000000003,Financial Services
EGIE3,107,35.84485981308411,43.2,20.519372164572147,4622.400000000001,Utilities
ELET3,120,36.135,35.52,-1.701951017019496,4262.400000000001,Utilities
ENBR3,175,16.194857142857146,19.48,20.285099326064696,3409.0,Utilities
FLRY3,138,20.81695652173913,26.65,28.02063535161553,3677.7,Healthcare
GRND3,110,8.218181818181819,8.18,-0.46460176991151414,899.8,Consumer Cyclical
HYPE3,81,30.73962962962963,33.27,8.231622829740845,2694.8700000000003,Healthcare
IRBR3,699,12.803533619456363,7.95,-37.90776643161143,5557.05,Financial Services
ITSA4,712,9.475842696629213,11.47,21.04464338649435,8166.64,Financial Services
ITUB3,213,25.08619718309859,27.34,8.98423463887891,5823.42,Financial Services
MDIA3,56,40.18857142857143,33.43,-16.817147732120006,1872.08,Consumer Defensive
MGLU3,460,11.142717391304348,24.98,124.18229883039224,11490.800000000001,Consumer Cyclical
MYPK3,271,13.337933579335793,14.97,12.236276413857219,4056.8700000000003,Consumer Cyclical
ODPV3,290,13.994827586206897,14.38,2.7522483676235074,4170.2,Healthcare
PETR4,330,16.174848484848486,28.7,77.43597429604509,9471.0,Energy
PSSA3,81,50.089629629629634,47.86,-4.451279927833079,3876.66,Financial Services
RLOG3,185,18.080000000000002,18.96,4.867256637168135,3507.6000000000004,Industrials
SUZB3,60,30.243333333333332,58.38,93.03427752672768,3502.8,Basic Materials
VLID3,305,11.62704918032787,9.29,-20.10010574550583,2833.45,Industrials
WEGE3,135,20.023925925925926,74.6,272.5543146532111,10071.0,Industrials
