ticker,Vol. liq.,Avg. price (R$),Quote (R$),P/L (%),Current value (R$),Sector
ABEV3,78,16.516410256410257,15.43,-6.577762598192945,1203.54,Consumer Defensive
B3SA3,36,43.315000000000005,61.02,40.87498557081842,2196.7200000000003,Financial Services
BIDI4,13,35.54,32.29,-9.144625773776028,419.77,Financial Services
CIEL3,98,9.64,3.88,-59.75103734439834,380.24,Technology
EGIE3,50,29.2,43.44,48.767123287671225,2172.0,Utilities
ENBR3,175,16.194857142857146,19.53,20.593839314067946,3417.75,Utilities
FLRY3,65,20.965384615384615,26.79,27.782058337919647,1741.35,Healthcare
GRND3,40,10.0,8.23,-17.699999999999996,329.20000000000005,Consumer Cyclical
HYPE3,31,27.07774193548387,33.26,22.831512610047525,1031.06,Healthcare
ITSA4,500,9.58,11.52,20.250521920668053,5760.0,Financial Services
ITUB3,57,26.90421052631579,27.43,1.9543018114949695,1563.51,Financial Services
MDIA3,39,38.455128205128204,33.63,-12.547424570761786,1311.5700000000002,Consumer Defensive
MGLU3,435,7.221034482758622,25.18,248.7035003103958,10953.3,Consumer Cyclical
MYPK3,180,13.277777777777779,14.94,12.518828451882836,2689.2,Consumer Cyclical
ODPV3,135,15.250370370370371,14.57,-4.461336700990871,1966.95,Healthcare
PETR4,330,16.174848484848486,28.8,78.05421810892331,9504.0,Energy
PSSA3,10,49.0,47.79,-2.4693877551020424,477.9,Financial Services
SUZB3,60,30.243333333333332,58.83,94.52220875123994,3529.7999999999997,Basic Materials
WEGE3,55,22.30909090909091,75.25,237.30643846780762,4138.75,Industrials
